"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"238","elektebla",1,9,"Esperanto",0.000593119810201661,2,5
"239","vojo",1,4,"Esperanto",0.000593119810201661,7,5
"240","ribeli",1,6,"Esperanto",0.000593119810201661,8,5
"241","tiranismo",1,9,"Esperanto",0.000593119810201661,5,5
"242","subpremo",1,8,"Esperanto",0.000593119810201661,9,5
"243","hom",1,3,"Esperanto",0.000593119810201661,8,5
"244","protektataj",1,11,"Esperanto",0.000593119810201661,4,5
"245","leĝo",1,4,"Esperanto",0.000593119810201661,12,5
"246","evoluigi",1,8,"Esperanto",0.000593119810201661,5,5
"247","amikajn",1,7,"Esperanto",0.000593119810201661,9,5
"248","rilatojn",1,8,"Esperanto",0.000593119810201661,3,5
"249","Ĉarto",1,5,"Esperanto",0.000593119810201661,6,5
"250","reasertis",1,9,"Esperanto",0.000593119810201661,2,5
"251","firman",1,6,"Esperanto",0.000593119810201661,7,5
"252","valoro",1,6,"Esperanto",0.000593119810201661,6,5
"253","firme",1,5,"Esperanto",0.000593119810201661,4,6
"254","decidis",1,7,"Esperanto",0.000593119810201661,9,6
"255","ŭenigi",1,6,"Esperanto",0.000593119810201661,6,6
"256","altnivelan",1,10,"Esperanto",0.000593119810201661,6,6
"257","granda",1,6,"Esperanto",0.000593119810201661,7,6
"258","sin",1,3,"Esperanto",0.000593119810201661,2,6
"259","devigis",1,7,"Esperanto",0.000593119810201661,5,6
"260","atingi",1,6,"Esperanto",0.000593119810201661,6,6
"261","kunlaboro",1,9,"Esperanto",0.000593119810201661,4,6
"262","ŭenigon",1,7,"Esperanto",0.000593119810201661,2,6
"263","komuna",1,6,"Esperanto",0.000593119810201661,4,6
"264","kompreno",1,8,"Esperanto",0.000593119810201661,6,6
"265","esence",1,6,"Esperanto",0.000593119810201661,2,6
"266","grava",1,5,"Esperanto",0.000593119810201661,7,6
"267","realigo",1,7,"Esperanto",0.000593119810201661,5,6
"268","sindevigo",1,9,"Esperanto",0.000593119810201661,3,6
"269","Tial",1,4,"Esperanto",0.000593119810201661,7,6
"270","nun",1,3,"Esperanto",0.000593119810201661,5,6
"271","Proklamas",1,9,"Esperanto",0.000593119810201661,5,6
"272","Universalan",1,11,"Esperanto",0.000593119810201661,5,6
"273","komunan",1,7,"Esperanto",0.000593119810201661,7,6
"274","celon",1,5,"Esperanto",0.000593119810201661,5,6
"275","atingo",1,6,"Esperanto",0.000593119810201661,3,6
"276","individuo",1,9,"Esperanto",0.000593119810201661,8,6
