"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"252","detingut",1,8,"Catalan",0.00142247510668563,4,10
"253","pres",1,4,"Catalan",0.00142247510668563,13,10
"254","desterrat",1,9,"Catalan",0.00142247510668563,10,10
"255","arbitràriament",1,14,"Catalan",0.00142247510668563,8,11
"256","condicions",1,10,"Catalan",0.00142247510668563,8,11
"257","plena",1,5,"Catalan",0.00142247510668563,5,11
"258","ser",1,3,"Catalan",0.00142247510668563,5,11
"259","escoltada",1,9,"Catalan",0.00142247510668563,2,11
"260","públicament",1,11,"Catalan",0.00142247510668563,9,11
"261","tribunal",1,8,"Catalan",0.00142247510668563,9,11
"262","imparcial",1,9,"Catalan",0.00142247510668563,6,11
"263","determinacio",1,12,"Catalan",0.00142247510668563,11,11
"264","obligacions",1,11,"Catalan",0.00142247510668563,9,11
"265","examen",1,6,"Catalan",0.00142247510668563,4,11
"266","acusació",1,8,"Catalan",0.00142247510668563,1,11
"267","ella",1,4,"Catalan",0.00142247510668563,2,12
"268","matèria",1,7,"Catalan",0.00142247510668563,11,12
"269","penal",1,5,"Catalan",0.00142247510668563,6,12
"270","acusats",1,7,"Catalan",0.00142247510668563,7,12
"271","delicte",1,7,"Catalan",0.00142247510668563,5,12
"272","presumeixi",1,10,"Catalan",0.00142247510668563,8,12
"273","innocència",1,10,"Catalan",0.00142247510668563,8,12
"274","fins",1,4,"Catalan",0.00142247510668563,12,13
"275","provi",1,5,"Catalan",0.00142247510668563,8,13
"276","culpabilitat",1,12,"Catalan",0.00142247510668563,11,13
"277","segons",1,6,"Catalan",0.00142247510668563,7,13
"278","judici",1,6,"Catalan",0.00142247510668563,9,13
"279","públic",1,6,"Catalan",0.00142247510668563,7,14
"280","què",1,3,"Catalan",0.00142247510668563,4,14
"281","li",1,2,"Catalan",0.00142247510668563,7,14
"282","hagi",1,4,"Catalan",0.00142247510668563,8,15
