"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"359","asitiwe",1,7,"Swahili",0.000561797752808989,13,7
"360","hatiani",1,7,"Swahili",0.000561797752808989,8,7
"361","tendo",1,5,"Swahili",0.000561797752808989,10,7
"362","ambalo",1,6,"Swahili",0.000561797752808989,3,7
"363","halikupinga",1,11,"Swahili",0.000561797752808989,10,7
"364","alipolitenda",1,12,"Swahili",0.000561797752808989,5,7
"365","asipewe",1,7,"Swahili",0.000561797752808989,4,7
"366","adhabu",1,6,"Swahili",0.000561797752808989,7,7
"367","kali",1,4,"Swahili",0.000561797752808989,5,7
"368","kuliko",1,6,"Swahili",0.000561797752808989,2,7
"369","iliyokuwamo",1,11,"Swahili",0.000561797752808989,6,7
"370","alipofanya",1,10,"Swahili",0.000561797752808989,6,7
"371","asiingiliwe",1,11,"Swahili",0.000561797752808989,6,7
"372","faragha",1,7,"Swahili",0.000561797752808989,5,7
"373","nyumbani",1,8,"Swahili",0.000561797752808989,9,7
"374","mwake",1,5,"Swahili",0.000561797752808989,11,7
"375","barua",1,5,"Swahili",0.000561797752808989,6,7
"376","as",1,2,"Swahili",0.000561797752808989,9,7
"377","ivunjiwe",1,8,"Swahili",0.000561797752808989,8,7
"378","pingamizi",1,9,"Swahili",0.000561797752808989,4,7
"379","kwenda",1,6,"Swahili",0.000561797752808989,6,7
"380","mahali",1,6,"Swahili",0.000561797752808989,5,7
"381","anapotaka",1,9,"Swahili",0.000561797752808989,2,7
"382","kuhama",1,6,"Swahili",0.000561797752808989,11,7
"383","hata",1,4,"Swahili",0.000561797752808989,7,7
"384","kurejea",1,7,"Swahili",0.000561797752808989,4,7
"385","kukimbilia",1,10,"Swahili",0.000561797752808989,6,7
"386","kustarehe",1,9,"Swahili",0.000561797752808989,8,7
"387","kuepukana",1,9,"Swahili",0.000561797752808989,9,7
"388","haiwezi",1,7,"Swahili",0.000561797752808989,6,7
"389","kuombwa",1,7,"Swahili",0.000561797752808989,4,8
"390","hautokani",1,9,"Swahili",0.000561797752808989,10,8
"391","wala",1,4,"Swahili",0.000561797752808989,6,8
"392","asinyimwe",1,9,"Swahili",0.000561797752808989,7,8
"393","kujibadili",1,10,"Swahili",0.000561797752808989,7,8
"394","lake",1,4,"Swahili",0.000561797752808989,6,8
"395","akitaka",1,7,"Swahili",0.000561797752808989,3,8
"396","wazima",1,6,"Swahili",0.000561797752808989,7,8
"397","kizuio",1,6,"Swahili",0.000561797752808989,7,8
"398","Wana",1,4,"Swahili",0.000561797752808989,6,8
"399","kutenguka",1,9,"Swahili",0.000561797752808989,9,8
"400","inaweza",1,7,"Swahili",0.000561797752808989,7,8
"401","kufungwa",1,8,"Swahili",0.000561797752808989,6,8
"402","mapatano",1,8,"Swahili",0.000561797752808989,9,8
"403","hao",1,3,"Swahili",0.000561797752808989,5,8
"404","wanaotaka",1,9,"Swahili",0.000561797752808989,4,8
"405","Jamaa",1,5,"Swahili",0.000561797752808989,7,8
"406","kiungo",1,6,"Swahili",0.000561797752808989,6,8
"407","inastahili",1,10,"Swahili",0.000561797752808989,6,8
"408","mawazo",1,6,"Swahili",0.000561797752808989,4,8
"409","dhamira",1,7,"Swahili",0.000561797752808989,5,8
"410","kubadili",1,8,"Swahili",0.000561797752808989,6,8
"411","kubainisha",1,10,"Swahili",0.000561797752808989,8,8
"412","faraghani",1,9,"Swahili",0.000561797752808989,7,8
"413","akiwa",1,5,"Swahili",0.000561797752808989,2,8
"414","peke",1,4,"Swahili",0.000561797752808989,5,8
"415","weng",1,4,"Swahili",0.000561797752808989,6,8
"416","ine",1,3,"Swahili",0.000561797752808989,6,8
"417","kuabudu",1,7,"Swahili",0.000561797752808989,8,8
"418","kuadhimisha",1,11,"Swahili",0.000561797752808989,9,8
"419","kueleza",1,7,"Swahili",0.000561797752808989,5,8
"420","kuingiliwa",1,10,"Swahili",0.000561797752808989,8,8
"421","kutafuta",1,8,"Swahili",0.000561797752808989,7,8
"422","habari",1,6,"Swahili",0.000561797752808989,6,8
"423","mipaka",1,6,"Swahili",0.000561797752808989,3,8
"424","mkutano",1,7,"Swahili",0.000561797752808989,4,8
"425","asilazimishwe",1,13,"Swahili",0.000561797752808989,5,8
"426","manachama",1,9,"Swahili",0.000561797752808989,5,8
"427","mjumbe",1,6,"Swahili",0.000561797752808989,10,8
"428","aliemchagua",1,11,"Swahili",0.000561797752808989,4,8
"429","kuf",1,3,"Swahili",0.000561797752808989,4,8
"430","anya",1,4,"Swahili",0.000561797752808989,6,8
"431","matakwa",1,7,"Swahili",0.000561797752808989,7,8
"432","huonyeshwa",1,10,"Swahili",0.000561797752808989,2,8
"433","uchaguzi",1,8,"Swahili",0.000561797752808989,4,8
"434","halisi",1,6,"Swahili",0.000561797752808989,9,8
"435","unaofanywa",1,10,"Swahili",0.000561797752808989,4,8
"436","baada",1,5,"Swahili",0.000561797752808989,5,8
"437","hupiga",1,6,"Swahili",0.000561797752808989,4,8
"438","hufanywa",1,8,"Swahili",0.000561797752808989,6,8
"439","Matakwa",1,7,"Swahili",0.000561797752808989,5,8
"440","ndiyo",1,5,"Swahili",0.000561797752808989,4,8
"441","yatakuwa",1,8,"Swahili",0.000561797752808989,10,8
"442","ms",1,2,"Swahili",0.000561797752808989,2,8
